# franken-registry-v2
id	crate_pattern	scope	decision	owner	rationale	feature_policy	unsafe_policy	ffi_policy	status	build_script	proc_macro
DEP-031	chacha20poly1305	production	allow_direct_first_party	crypto	direct first-party AEAD for fgit-crypto encryption domains per ADR-0003 amendment 1, XChaCha20-Poly1305 selected over AES-256-GCM on nonce economics, also reachable as asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_alloc+default+getrandom	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-032	cipher	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_aes	resolved_block-buffer+stream-wrapper	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-033	cmov	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_ctutils	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-034	concurrent-queue	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_polling	resolved_default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-035	const-oid	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_der	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-036	cpubits	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_aes	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-037	cpufeatures	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_aes	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-038	crc32fast	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-039	crossbeam-queue	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_alloc+default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-040	crossbeam-utils	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_concurrent-queue	resolved_std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-041	crypto-common	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_aead	resolved_getrandom+rand_core	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-042	ctr	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_aes-gcm	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-043	ctutils	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_digest	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-044	curve25519-dalek	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_ed25519-dalek	resolved_digest	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-045	curve25519-dalek-derive	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_curve25519-dalek	resolved_none	proc_macro_transitive	no_foreign_engine_declared	active	absent	enabled
DEP-046	data-encoding	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_nkeys	resolved_alloc+default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-047	der	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_pkcs8	resolved_alloc+oid+pem+std+zeroize	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-048	digest	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_curve25519-dalek	resolved_alloc+block-api+block-buffer+core-api+default+mac+oid+zeroize	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-049	dispatch2	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_objc2-core-foundation	resolved_alloc+objc2	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-050	ed25519	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_ed25519-dalek	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-051	ed25519-dalek	production	allow_direct_first_party	crypto	direct first-party signature scheme for fgit-crypto detached envelopes per ADR-0003 amendment 1, Ed25519 selected over ECDSA P-256 on deterministic nonce derivation, also reachable as asupersync_0.4.9_transitive_direct_parent_nkeys	resolved_digest+signature	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-052	either	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_itertools	resolved_std+use_std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-053	equivalent	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_hashbrown	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-054	errno	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_rustix	resolved_default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-055	fastrand	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_futures-lite	resolved_alloc+default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-056	fiat-crypto	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_curve25519-dalek	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-057	foldhash	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_hashbrown	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-058	futures-core	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_futures-lite	resolved_alloc+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-059	futures-io	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_futures-lite	resolved_default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-060	futures-lite	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_alloc+default+fastrand+futures-io+parking+race+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-061	futures-task	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_futures-util	resolved_alloc+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-062	futures-util	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_js-sys	resolved_alloc+slab+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-063	generic-array	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_block-buffer	resolved_more_lengths	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-064	getrandom	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_custom+std+sys_rng+wasm_js	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-065	ghash	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_aes-gcm	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-066	hashbrown	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_allocator-api2+default+default-hasher+equivalent+inline-more+raw-entry	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-067	hermit-abi	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_polling	resolved_default	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-068	hex	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_alloc+default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-069	hmac	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-070	hybrid-array	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_block-buffer	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-071	inout	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_aead	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-072	itertools	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_prost-derive	resolved_default+use_alloc+use_std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-073	itoa	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_serde_json	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-074	js-sys	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_default+std+unsafe-eval	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-075	libc	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_default+extra_traits+std	os_abi	os_abi_shim_no_foreign_engine	active	enabled	absent
DEP-076	linux-raw-sys	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_rustix	resolved_auxvec+elf+errno+general+ioctl+no_std+prctl	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-077	lock_api	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_parking_lot	resolved_atomic_usize+default	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-078	log	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_nkeys	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-079	memchr	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_alloc+default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-080	memoffset	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_nix	resolved_default	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-081	nix	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_default+feature+fs+memoffset+net+poll+process+signal+socket+uio+user	os_abi	os_abi_shim_no_foreign_engine	active	enabled	absent
DEP-082	nkeys	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-083	ntapi	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_sysinfo	resolved_default+user	os_abi	os_abi_shim_no_foreign_engine	active	disabled	absent
DEP-084	num-traits	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_rmp	resolved_std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-085	objc2	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_dispatch2	resolved_alloc+std	os_abi	os_abi_shim_no_foreign_engine	active	disabled	absent
DEP-086	objc2-core-foundation	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_objc2-io-kit	resolved_CFArray+CFBase+CFData+CFDictionary+CFError+CFNumber+CFPlugInCOM+CFRunLoop+CFString+CFURL+CFUUID+alloc+bitflags+objc2+std	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-087	objc2-encode	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_objc2	resolved_alloc+std	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-088	objc2-foundation	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_objc2-open-directory	resolved_NSString+alloc+bitflags	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-089	objc2-io-kit	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_sysinfo	resolved_alloc+hidsystem+libc+std	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-090	objc2-open-directory	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_sysinfo	resolved_CFODNode+CFODQuery+CFODRecord+CFODSession+CFOpenDirectory+CFOpenDirectoryConstants+alloc+objc2-core-foundation+std	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-091	once_cell	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_tempfile	resolved_alloc+race+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-092	parking	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_futures-lite	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-093	parking_lot	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_default	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-094	parking_lot_core	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_parking_lot	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-095	pastey	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_bincode-next	resolved_none	proc_macro_transitive	no_foreign_engine_declared	active	absent	enabled
DEP-096	pem-rfc7468	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_der	resolved_alloc	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-097	pin-project	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-098	pin-project-internal	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_pin-project	resolved_none	proc_macro_transitive	no_foreign_engine_declared	active	absent	enabled
DEP-099	pin-project-lite	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_futures-lite	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-100	pkcs8	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_signatory	resolved_alloc+pem+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-101	polling	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-102	poly1305	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_chacha20poly1305	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-103	polyval	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_ghash	resolved_hazmat	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-104	ppv-lite86	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_rand_chacha	resolved_simd+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-105	proc-macro2	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_curve25519-dalek-derive	resolved_default+proc-macro	proc_macro_transitive	no_foreign_engine_declared	active	enabled	absent
DEP-106	prost	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_default+derive+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-107	prost-derive	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_prost	resolved_none	proc_macro_transitive	no_foreign_engine_declared	active	absent	enabled
DEP-108	quote	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_curve25519-dalek-derive	resolved_default+proc-macro	proc_macro_transitive	no_foreign_engine_declared	active	enabled	absent
DEP-109	r-efi	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_getrandom	resolved_none	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-110	rand	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_nkeys	resolved_alloc+default+getrandom+libc+rand_chacha+std+std_rng	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-111	rand_chacha	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_rand	resolved_std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-112	rand_core	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_crypto-common	resolved_alloc+getrandom+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-113	rapidhash	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_bincode-next	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-114	redox_syscall	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_parking_lot_core	resolved_default+userspace	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-115	rmp	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_rmp-serde	resolved_default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-116	rmp-serde	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-117	rustc_version	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_curve25519-dalek	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-118	rustix	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_polling	resolved_alloc+default+event+fs+pipe+process+std+time	os_abi	os_abi_shim_no_foreign_engine	active	enabled	absent
DEP-119	rustversion	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_rapidhash	resolved_none	proc_macro_transitive	no_foreign_engine_declared	active	enabled	enabled
DEP-120	scopeguard	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_lock_api	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-121	semver	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_default+serde+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-122	sha1	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_alloc+default+oid	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-123	sha2	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_alloc+default+oid+zeroize	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-124	signal-hook	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_channel+default+iterator	ledgered_transitive_unaudited	no_foreign_engine_declared	active	enabled	absent
DEP-125	signal-hook-registry	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_signal-hook	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-126	signatory	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_nkeys	resolved_default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-127	signature	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_ed25519	resolved_alloc+digest+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-128	slab	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_default+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-129	smallvec	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_none	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-130	socket2	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_asupersync	resolved_all	os_abi	os_abi_shim_no_foreign_engine	active	absent	absent
DEP-131	spki	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_pkcs8	resolved_alloc+pem+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-132	subtle	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_aes-gcm	resolved_default+i128+std	ledgered_transitive_unaudited	no_foreign_engine_declared	active	absent	absent
DEP-133	syn	production	allow_transitive_admitted_runtime	concurrency	asupersync_0.4.9_transitive_direct_parent_curve25519-dalek-derive	resolved_clone-impls+default+derive+extra-traits+full+parsing+printing+proc-macro+visit+visit-mut	proc_macro_transitive	no_foreign_engine_declared	active	absent	absent
